Sudoku,Time(s)
......6.48.15.673...3..2.5......458...........149......2.6..9...497.52.86.5......,860
.694..81....3..7..8.....24.......5.9.1.9.7.8.3.8.......25.....8..4..1....36..895.,1290
......8.....7.95.486....93..9..42.1...6...3...8.93..2..23....976.81.5.....4......,986
........9563.9.8...9.2..3..72.3..45...5...1...46..7.98..2..5.1...9.3.5848........,847
.5..4.....935.86...721...8........546.8...1.321........6...473...16.749.....1..6.,1179
.815...3..651.34...3..4...........498.4...7.352...........5..2...37.286..7...491.,1108
28.6......538...64..9....1.97.5...3...........3...8.92.1....8..52...397......1.43,941
..1.6.347.7.........9..3..54.2..8.71..3...5..98.6..4.31..9..6.........1.236.1.7..,1006
6..3.......45.7.1.7..2...4...29...34.9.....8.53...19...6...5..8.1.6.93.......3..7,1995
6.1..82.58.3....1...4..7....29......1..4.2..6......17....6..8...1....9.39.21..5.7,691
61.2.8...4.7...35.9..........634.7..1.......4..3.972..........6.61...4.3...5.3.98,823
.4.2..3...397.45.16.7.......146...................865.......4.71.24.986...8..7.2.,939
67..3...9...2...3.3459....2....5.6.3.........7.1.2....2....3798.3...1...8...6..41,855
6.34..27.5.......8.2..3..5...5..9142.........8321..5...7..9..2.3.......6.48..79.5,763
.....95...7.6.4..1.1...26...91..3..2.8.....3.3..7..49...84...5.9..3.5.7...69.....,1201
..7.95.2.5....19.4.3.........3..8....1.4.2.5....5..6.........4.7.41....6.9.68.5..,1606
........4.742...3.6..35.9.....9..3..2..4.8..9..1..5.....7.69..8.9...264.1........,1503
..4.1...3.9.....4.1..9...2.....36.516.......295.14.....4...8..7.7.....1.2...5.8..,1292
.5..2..7.6....5.18..1.6.....74..6....9.....4....5..92.....4.5..13.7....2.2..8..3.,1411
...7..8..6....83...3..5..2..49..7.1....3.5....2.1..54..6..8..7...15....9..3..4...,1529
5..........2..695..8..32..1.2...8...8..4.5..6...3...7.4..81..9..156..8..........7,2146
.713...4.....59.6..6......1..9.7.3.4.........4.2.8.6..8......1..5.83.....2...653.,1344
.1.7...5.8..9..7.2..2.4........24..3...6.9...6..81........3.9..4.5..6..7.9...7.8.,16063
.3...5.1.9.......6..2....3.34..28.....57.18.....94..23.6....1..2.......7.8.4...9.,1326
.....81...47....26.3.9.2....5......16..4.1..59......7....5.7.6.78....35...38.....,2661
.97..4...3..5.8..9......3....179..6.2.......1.8..162....4......6..8.7..5...1..92.,1485
8.3..1....6.4.7.2.........93..21.7...1.....3...2.84..15.........8.7.6.5....9..8.4,1514
46...12........3...9..25.7.....96..7.........7..13.....1.58..3...3........89...54,1806
....1.79..3.78.1..67.........6..1.2.4.......5.2.3..9.........51..3.42.8..64.9....,1527
..4.....9.9...57.18..61....5.8...19...........17...4.3....26..44.53...8.2.....6..,1425
...3...7....6..2.9497.5.6...6.7.3..2.........2..9.4.1...9.1.3657.2..6....1...5...,822
.7...2....9..745.14.35.........2...72.5.8.3.47...1.........31.26.715..9....2...5.,1204
..1..8...52.3.......9.15.37....8...183..6..251...7....41.73.9.......2.78...8..3..,1614
78.29.5.......7.24...1..9...9..1....42..6..17....8..9...7..1...81.4.......5.78.39,1018
1...5....5.71....96...37.12.169.42.............26.834.46.79...37....59.4....4...6,1231
........21....389..6..9817...3....5...73569...1....2...5927..6..261....77........,1231
.5..8.492...9...3....3..8..5...47..3..8...1..7..81...4..4..1....3...8...812.6..7.,660
...3....8...9..74.781.2..9.9..8.34.............47.1..5.7..5.239.48..9...5....2...,840
.....89....3.94....96.13.84.85....31..1...4..94....56.16.34.87....97.3....98.....,665
1....2....2...6...463.1..9...284.9..7.......1..4.718...8..5.173...1...2....7....4,1046
.6..1.....126...9..7..32.566.79.45.............57.83.474.29..3..2...194.....4..7.,797
6..8..7.3.89..56......1...85......7...19275...9......69...3......87..21.1.2..8..7,783
427.1.6......4...1...5..7...34..1..7.7.436.2.8..7..41...6..3...7...5......3.6.978,913
.6..52....85.369.1.....8.2..49...3.2.3.....1.1.6...84..2.8.....3.861.29....32..6.,782
.....7..525..3697.6...59...17....36.3.......9.95....21...54...6.2369..475..7.....,682
.27...5.4...8...93...3..7..5....962.....2.....427....5..4..6...81...5...6.9...34.,1103
...9..516...8....7......9..1.4..6.3..95.7.86..6.3..4.9..9......4....9...726..1...,1646
4.2..7....8...3....93....5886.1..7......6......7..9.3661....87....5...1....2..5.9,1508
3.8.1.9..5...6.1..1......8......6.3..9.581.6..5.2......3......2..2.4...8..5.9.6.7,1081
...9..5.....8..234........95.9..1.4.74..2..96.1.4..8.59........684..9.....2..7...,754
4...9.1..3...8.6.2.7....4...3.4......8.315.2......2.7...5....1.1.7.5...8..3.2...5,1093
4.9...15....2...76...5..4...2...83.4....3....3.51...2...8..9...19...7....42...8.3,1192
...7..3..........8...8..1624.6..1.9.28..3..17.1.9..8.4153..6...8..........4..8...,667
..5.....6.6..3...1.7..8..24..76.......87192.......25..51..9..8.7...2..9.9.....1..,1214
.1..7...6...3621........45.1....6.98.........78.2....5.67........1598...5...3..2.,1795
....962..253..7.......1...4.......35.35...68.79.......9...3.......9..548..472....,1081
.58...9...4..891..1..56..2.......49....2.7....39.......7..45..1...12..4...4...86.,856
....5..7.64.9.......3....153.6.......89.2.56.......7.153....1.......7.48.9..6....,842
..2.........7.81.9.5...3..4.7..1..95..1...4..54..6..8.8..9...3.4.58.2.........9..,1802
.....4..7..5.......6.27...5.4..3.9.1.79...85.3.1.2..6.1...65.7.......3..9..1.....,1486
8.9....1.5...9.........36.4......16.69..7..32.58......4.25.........6...3.8....9.1,1216
6....928.8...741.........5....1....3.19...64.3....8....4.........693...1.372....9,1540
.....9.3...9...2.6.1..359.7..27.....64.....29.....28..1.497..8.7.5...1...3.1.....,1022
.....96...2...87.4.96.2....54.......3.9.4.8.1.......47....8.31.2.59...6...46.....,773
.......6..1...45.2...5871...6..3.98.....6.....79.2..1...2346...9.71...3..3.......,1226
..95.....2.6..738.8...2..9....8..1...2..4..6...8..5....1..7...3.642..7.5.....46..,1252
..83..........7.516.218.7...13......5...7...9......62...5.961.274.2..........45..,982
......13.2...84..5.3..5......21...97..8.9.6..94...68......7..1.1..26...3.75......,718
.5..92.4.4...7..........3.7..89...16..9.1.8..17...42..5.4..........3...5.3.68..2.,1074
1...72..5......86..6..5......18...34..7.3.9..32...97......4..8..45......8..19...6,1196
65...14....9.....7...2..3......4..63.9..5..8.86..2......1..9...3.....9....67...52,1377
.9...5...3......6..2.1..8.79.7.2......4.8.6......5.7.45.8..3.7..6......9...6...1.,957
.7...98.31.....4....5....2....7..354...6.3...593..8....5....1....1.....62.61...7.,1458
7.......2..63.45...2.7.5.6..63...21.....6.....97...35..1.9.8.2...92.16..2.......4,1238
2.36..5.9.9.2.5..11...8....385...2..9.......8..4...395....5...74..9.6.5.5.9..31.2,1155
....7.1....23.5.7.3.7..46.92.....734..3...8..784.....64.65..3.7.3.6.79....9.8....,1395
.....37..9.2.76.587..2.9..6..7...8.4.9.....3.6.4...9..5..6.8..981.93.5.7..97.....,896
..1..42.63...2.....2....8....938.17....5.2....48.913....4....8.....6...19.21..5..,1498
..8.6.....6...7.28..78..6....3.7.49..5.....1..49.5.7....6..42..49.2...8.....8.3..,1386
5.4.....7....31...1..2..8.98..1..2.4...3.2...2.3..4..83.8..6..2...81....4.....5.1,9509
..4.....1...5...6..691.87....2.91...9..6.3..4...87.1....13.692..9...2...8.....3..,1988
.1.46..2..62..74.......5..8..7...58...9...7...41...3..7..6.......45..29..9..14.7.,1165
43...1..7.6.72..3......86..9......726.......315......6..51......4..87.2.7..6...84,1094
8.2.....3....95...5..4..7.17..5..4.2...9.4...4.9..2..79.7..6..4...75....2.....8.5,3516
8......9...6..7....3.5.864....84..2.9..1.6..4.8..35....426.1.8....2..4...1......5,907
6....74...........1.74.35.9..237..1..1.....8..4..817..3.87.41.6...........48....3,1464
8.35.41.26....35.............743..8..8.....9..5..983.............59....44.93.58.6,1058
..8..4...9..1.68.5.6......2...65...3.2.7.8.5.6...91...7......1.5.38.7..6...3..5..,757
6......9.....9.8..9.23....445..68..7...9.1...8..47..361....47.9..4.2.....6......3,1086
..1..3..6.........3.96.87.54..83..9..9.....2..6..29..32.83.61.9.........6..2..8..,1500
.....1..4..3.........8251..2.9..654..3..4..7..682..9.1..6792.........6..8..1.....,1437
258.6...9.......36....5.8....73.8..1.........9..1.67....4.1....62.......1...2.345,1117
1...9..647...15....8...3...8......2.6.7...8.5.1......3...8...9....56...794..7...2,1443
521...8..6..8...2..8...1....4....139....4....962....7....9...6..3...8..5..9...782,1545
2......7....2..693...3...5...6..3.481...6...942.9..7...1...2...354..7....8......6,1291
.1.....4.9..51...38.4.....6.3.2.......28.73.......3.6.1.....4.75...98..1.2.....8.,1101
3...51..88.....9.7.6.....1......2.4...61.72...2.6......8.....9.1.9.....45..38...2,1154
..1...79...3.461..5.......6.....8..2.5.6.7.8.8..5.....1.......9..431.8...96...2..,1181
7.......3..2.348....6...17......9..2.2.5.1.9.6..2......75...3....318.4..1.......9,1149
..52..3...9.1.35.4...7..96.2......5.....8.....5......7.46..7...5.98.4.1...2..97..,1804
.1....394..6..3..2...1..7..147...9......5......5...681..3..8...7..3..4..284....3.,1278
.....2.....3.1..7.7..43..25.12...6....9...3....4...51.69..85..4.3..7.8.....2.....,1251
.5..4.6...79....42...9..83....69....1.......3....85....18..9...36....92...5.1..7.,1201
6..2.......1.4.....83..5.9.37.......94..7..68.......52.6.9..28.....6.1.......7..6,1231
...53.9..6.......4.8...132.8.....4....23.91....6.....8.278...4.1.......7..3.95...,1631
91....6.25.....73.....6...9..54......8.7.5.2......35..6...8.....47.....53.8....41,1416
18.7.4.......8..1..9....48...34....9.1.....5.5....67...47....9..3..4.......3.2.45,1011
19..4.27....7..4...2...6.....2..38..9.......2..62..5.....5...6...1..4....79.1..25,1395
7..65...4....7.5.......1.293......4.6..745..1.9......594.8.......2.3....5...14..2,1089
.....5.34.9.8......68..1......6.731.8.......9.162.3......4..27......6.9.47.1.....,1216
1......255.83.6.......5...6.2.9..8..8.......7..1..5.6.7...4.......5.27.445......1,805
.9.....1...8......2..76.4.3..79....56..3.5..85....79..9.5.23..7......2...2.....3.,898
.....1.69.5.94..2.....3.5...2......6.4.297.8.9......3...2.7.....9..28.7.56.4.....,1085
.3.....6.......3..5.4.36..14....15..2..6.4..7..15....43..12.9.6..7.......5.....8.,1015
.2.1..7....9.875..5.......9..156......8...9......716..4.......6..672.1....3..5.9.,1113
...4.5..2...7...6.832.....4.4.3..9.1.........7.9..1.4.6.....219.2...7...9..1.3...,1442
.5.......4......1...7.5249......478...1.9.5...835......7814.9...1......8.......2.,1696
.73..6...5.....7.3.4.....6...195...79.......13...216...2.....4.1.4.....6...7..15.,1596
........7...6.5412....7.5.......2.94..27.83..71.4.......6.3....5781.4...2........,1591
372...9.....6....8...9.47..9..3..15...........56..1..9..51.3...7....6.....8...571,1571
.....17.......52.4....6.59...5.329...6.....4...754.8...83.2....2.94.......47.....,1577
23.7.....1..8.....7.9.6....9..24...7..3...6..5...37..1....2.5.4.....1..3.....3.29,1187
..17.4....8...2.....6...1781.2..7.9...........9.4..7.1843...9.....2...6....9.58..,1177
2..97..4.........9..94.6..54.6.2.....3..1..2.....3.5.71..7.53..7.........5..63..8,881
......2....961...7.6.7.25...72.6....4...5...6....4.31...71.3.8.3...284....8......,1103
.4..8..2...8..7..1.5.1....98..5.6....9.....3....8.2..69....3.1.2..4..9...8..1..6.,1231
..6..2.7.4..56....2......1..5.9...2...98.73...1...4.5..6......2....75..9.9.1..4..,1686
....92..6..51...9...3.....1..1..42...8.5.7.4...26..3..1.....9...6...34..4..25....,725
..9..67....78...4.3.21.........1.5..78..4..26..6.2.........26.7.6...32....85..4..,733
2...7...96..8..3...7...48....76.1...3.......5...7.91....92...3...3..5..87...8...1,1414
......8..9......1754..9.6..3.25.......91.34.......67.9..7.3..8189......6..6......,871
..8..3.6.4..6...7.9...8...5.8.4.2...7.......1...8.5.2.8...6...2.7...1..6.5.9..7..,952
.2......7..6..1..9.9.85....8..6....1..35.49..2....9..8....78.6.5..2..7..1......2.,1081
1...4.29..69...7..7.............76.16..2.4..38.45.............9..6...12..35.6...7,900
.2176854..94..3.7.......2.8.6..71...............85..2.4.2.......1.2..49..8643715.,877
.5691.4..2....5.86..4......5...93167.........71342...5......3..68.1....2..9.8267.,1021
.....34...2...519...1.9..3...7.28.1...5...7...8.94.5...3..8.6...943...5...67.....,980
.4....8......9.2...7..253.651.6.....4..1.2..5.....9.416.421..7...9.8......2....3.,896
5...4...8.8.51.37.6.1.......53.74...2.......9...32.48.......6.3.69.52.1.1...6...7,1120
79...6.4.35.481.72......1.5.8..43...............12..5.5.7......81.764.23.3.5...97,1052
..8.4..7572..9.8.31.......2...9..321....3....283..5...8.......96.4.2..1839..1.6..,788
5.76..4.1.2.18..67.....7.....2....7.4..8.2..3.5....2.....9.....79..65.1.2.6..13.9,952
.821...3...94......4..8.2...2.63.7....7...1....1.98.6...5.6..4......75...1...498.,1130
.....3....54.......16.847...258..14...1.9.6...93..527...746.82.......95....2.....,980
..9.4...2.....9.8...21...359......5.12.574.69.7......438...25...6.7.....2...5.1..,1041
7....5....9.21..5...563.2.9.5.9...13.........93...2.8.4.8.635...6..78.2....4....8,899
..2.81.5..8....6...5.36..487....4....43.9.26....8....496..43.8...1....9..7.91.4..,808
5.8...3.6...5.67.......9..861..25..4....7....7..86..239..6.......67.1...2.4...6.5,872
23...85.6.6..7.......4....8.78..24..4...3...9..58..76.1....4.......1..3.9.63...27,980
1.5.6437............9..3526...67....7.6...1.8....45...6914..7............4892.6.3,626
...78.96.6........7..6...54.35.4.21.....2.....24.7.83.29...8..5........1.47.62...,691
75..........85.4.1..8...79..74...9.3....7....3.2...64..37...1..5.6.12..........36,6612
...79..867.....1.4.49......6.4....21....4....52....6.3......23.4.2.....839..85...,1730
.3...2..8.9...7..4..26.......15...82..7...3..24...37.......16..5..3...2.7..4...9.,980
...1..9..7...3.62......8.5..893....72.......66....958..3.4......62.9...4..1..7...,925
.17.6...9.....7..6....4..7...42.....693...821.....65...2..1....9..8.....4...3.75.,1572
...78..65......2.3....6..1..27.....6..41.85..3.....19..1..3....2.9......74..96...,1446
